AGE,FG3M,FTM,FTA,OREB,TOV,STL,BLK,BLKA,PFD,DD2_RANK,TD3_RANK,All_Star_Selection
0.125,0,0.107843,0.138211,0.490909,0.245614,0.4,0.135135,0.380952,0.153061,0.153558,0.666667,0
0.083333,0.018868,0.392157,0.398374,0.163636,0.315789,0.333333,0.108108,0.52381,0.377551,0.674157,0.666667,0
0.041667,0,0.333333,0.406504,0.490909,0.578947,0.333333,0.216216,0.666667,0.469388,0.089888,0.666667,0
0.208333,0,0.019608,0.01626,0.036364,0,0.033333,0.027027,0.095238,0.05102,0.835206,0.666667,1
0.416667,0,0.029412,0.056911,0.145455,0.122807,0.1,0.243243,0.047619,0.040816,0.835206,0.666667,0
0.458333,0.245283,0.04902,0.04878,0.054545,0.105263,0.1,0.027027,0.095238,0.081633,0.835206,0.666667,1
0.333333,0.09434,0.04902,0.04878,0.054545,0.22807,0.266667,0.108108,0.190476,0.071429,0.835206,0.666667,0
0.708333,0.150943,0.098039,0.105691,0.036364,0.157895,0.4,0.027027,0.142857,0.173469,0.835206,0.666667,0
0.333333,0.301887,0.529412,0.512195,0.109091,0.614035,0.4,0.054054,0.428571,0.530612,0.037453,0.666667,0
0.166667,0.018868,0.068627,0.097561,0.145455,0.122807,0.133333,0.054054,0.095238,0.102041,0.835206,0.666667,0
0.166667,0,0.039216,0.04878,0.090909,0.087719,0.033333,0.054054,0.095238,0.05102,0.835206,0.666667,0
0,0,0.127451,0.178862,0.4,0.175439,0.133333,0.243243,0.190476,0.163265,0.411985,0.666667,1
0.125,0.301887,0.578431,0.560976,0.181818,0.596491,0.333333,0.162162,0.761905,0.489796,0.11236,0.153846,0
0.083333,0.018868,0.088235,0.097561,0.145455,0.052632,0.066667,0.081081,0.142857,0.071429,0.835206,0.666667,0
0.375,0.150943,0.460784,0.463415,0.036364,0.508772,0.333333,0.027027,0.380952,0.5,0.247191,0.666667,0
0.166667,0,0,0,0.090909,0.175439,0,0,0,0,0.835206,0.666667,0
0.583333,0.169811,0.529412,0.495935,0.127273,0.333333,0.166667,0.162162,0.190476,0.489796,0.164794,0.666667,0
0.25,0,0.058824,0.065041,0.218182,0.087719,0.066667,0.162162,0.190476,0.061224,0.674157,0.666667,0
0.125,0,0.078431,0.073171,0.054545,0.105263,0.1,0.054054,0.095238,0.061224,0.835206,0.666667,0
0.166667,0.132075,0.058824,0.073171,0.127273,0.157895,0.166667,0.081081,0.142857,0.081633,0.674157,0.666667,1
0.25,0.45283,0.215686,0.227642,0.2,0.280702,0.5,0.216216,0.285714,0.204082,0.307116,0.666667,0
0.416667,0.018868,0.22549,0.235772,0.381818,0.22807,0.2,0.135135,0.333333,0.285714,0.228464,0.153846,0
0.25,0,0.686275,0.95122,0.727273,0.631579,0.466667,0.648649,0.47619,1,0,0.666667,0
0.416667,0.150943,0.637255,0.699187,0.290909,0.54386,0.5,0.297297,0.428571,0.622449,0.228464,0.153846,0
0.416667,0,0.068627,0.089431,0.272727,0.140351,0.133333,0.081081,0.190476,0.102041,0.835206,0.666667,0
0.666667,0.09434,0.117647,0.113821,0.054545,0.157895,0.233333,0.027027,0.142857,0.132653,0.835206,0.666667,0
0.166667,0,0.058824,0.089431,0.163636,0.122807,0.066667,0.108108,0.190476,0.081633,0.835206,0.666667,0
0.541667,0.09434,0.068627,0.081301,0.127273,0.263158,0.266667,0.054054,0.142857,0.102041,0.674157,0.666667,0
0.125,0,0.107843,0.162602,0.472727,0.122807,0.2,0.27027,0.238095,0.142857,0.191011,0.666667,0
0.583333,0.226415,0.068627,0.056911,0.036364,0.087719,0.2,0.027027,0.095238,0.040816,0.835206,0.666667,1
0.625,0.075472,0.019608,0.03252,0.090909,0.070175,0.133333,0.054054,0.047619,0.071429,0.835206,0.666667,0
0.208333,0,0.068627,0.089431,0.254545,0.140351,0.133333,0.405405,0.095238,0.142857,0.835206,0.666667,0
0.541667,0,0.254902,0.276423,0.527273,0.210526,0.366667,0.351351,0.285714,0.285714,0.101124,0.666667,0
0.375,0,0.196078,0.292683,0.581818,0.298246,0.2,0.486486,0.428571,0.295918,0.11236,0.666667,0
0.083333,0.075472,0.117647,0.130081,0.145455,0.421053,0.366667,0.081081,0.190476,0.153061,0.674157,0.666667,0
0.125,0.358491,0.5,0.504065,0.145455,0.473684,0.433333,0.081081,0.571429,0.469388,0.674157,0.666667,0
0.208333,0.09434,0.04902,0.056911,0.054545,0.157895,0.133333,0.027027,0.047619,0.061224,0.835206,0.666667,0
0.666667,0,0.04902,0.073171,0.181818,0.105263,0.1,0.243243,0.095238,0.091837,0.674157,0.666667,0
0.208333,0.113208,0.156863,0.138211,0.327273,0.192982,0.3,0.108108,0.238095,0.234694,0.269663,0.666667,0
0.583333,0,0.088235,0.097561,0.090909,0.070175,0.033333,0.081081,0.095238,0.071429,0.835206,0.666667,0
0.125,0.037736,0.127451,0.130081,0.090909,0.175439,0.2,0.054054,0.285714,0.132653,0.573034,0.666667,1
0.708333,0,0.019608,0.03252,0.109091,0.105263,0,0,0,0.040816,0.835206,0.666667,0
0.666667,0,0.039216,0.04065,0.109091,0.087719,0.1,0.054054,0.047619,0.061224,0.835206,0.666667,0
0.416667,0.264151,0.107843,0.105691,0.072727,0.140351,0.3,0.216216,0.142857,0.132653,0.674157,0.666667,0
0.125,0,0,0,0,0,0,0,0,0,0.835206,0.666667,0
0.208333,0,0.04902,0.081301,0.145455,0.087719,0,0.054054,0.142857,0.061224,0.835206,0.666667,0
0.25,0.075472,0.029412,0.056911,0,0.175439,0.166667,0.081081,0.095238,0.05102,0.835206,0.666667,0
0.291667,0.056604,0.088235,0.113821,0.072727,0.122807,0.133333,0.027027,0.190476,0.102041,0.835206,0.666667,0
0.291667,0.301887,0.107843,0.105691,0.054545,0.175439,0.1,0.027027,0.095238,0.112245,0.835206,0.666667,0
0.25,0.188679,0.303922,0.292683,0.054545,0.22807,0.3,0.081081,0.238095,0.295918,0.835206,0.666667,0
0.166667,0.018868,0.186275,0.195122,0.127273,0.157895,0.233333,0.135135,0.238095,0.234694,0.835206,0.666667,0
0.375,0.169811,0.382353,0.430894,0.290909,0.368421,0.5,0.243243,0.619048,0.459184,0.142322,0.666667,0
0.416667,0.264151,0.166667,0.178862,0.054545,0.438596,0.366667,0.081081,0.190476,0.214286,0.479401,0.666667,0
0.25,0,0.245098,0.276423,0.236364,0.192982,0.333333,0.108108,0.380952,0.306122,0.378277,0.666667,0
0.25,0.150943,0.117647,0.154472,0.090909,0.298246,0.233333,0.027027,0.190476,0.22449,0.378277,0.153846,0
