AGE,FG3M,OREB,TOV,STL,BLK,BLKA,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.583333,0.283019,0.054545,0.350877,0.366667,0.054054,0.285714,0.591141,0.666667,0
0.208333,0,0.345455,0.22807,0.133333,0.162162,0.285714,0.49063,0.666667,0
0.666667,0.075472,0.018182,0.122807,0.133333,0,0,0.550256,0.666667,0
0.375,0.09434,0.054545,0.105263,0.1,0.027027,0.142857,0.468484,0.666667,0
0.25,0,0.181818,0.070175,0.066667,0.054054,0.285714,0.524702,0.666667,0
0.625,0,0.527273,0.087719,0.133333,0.162162,0.142857,0.53833,0.666667,0
0.208333,0.169811,0.181818,0.22807,0.233333,0.135135,0.238095,0.522998,0.666667,0
0.166667,0.056604,0.036364,0.157895,0.2,0.108108,0.238095,0.507666,0.666667,0
0.166667,0,0.127273,0.070175,0.1,0.081081,0.047619,0.517888,0.666667,0
0.125,0,0.072727,0.105263,0.366667,0.081081,0.142857,0.528109,0.666667,0
0.541667,0,0.181818,0.192982,0.033333,0.351351,0.142857,0.53322,0.666667,0
0.208333,0.075472,0.145455,0.245614,0.133333,0.027027,0.285714,0.473595,0.666667,0
0.708333,0.018868,0.018182,0.052632,0,0.081081,0.142857,0.512777,0.666667,0
0.125,0.132075,0.072727,0.315789,0.166667,0.027027,0.285714,0.454855,0.666667,0
0.291667,0,0.690909,0.333333,0.333333,0.405405,0.47619,0.586031,0.666667,0
0.166667,0.358491,0.054545,0.140351,0.3,0.027027,0.190476,0.543441,0.666667,0
0.458333,0.226415,0.145455,0.350877,0.233333,0.027027,0.333333,0.543441,0.666667,0
0.666667,0,0.036364,0.052632,0,0.081081,0.047619,0.512777,0.666667,0
0.375,0,0.254545,0.087719,0.033333,0.324324,0.095238,0.550256,0.666667,0
0.5,0,0.181818,0.140351,0.033333,0.108108,0.095238,0.487223,0.666667,0
0.333333,0,0.327273,0.157895,0.2,0.108108,0.142857,0.517888,0.666667,0
0.416667,0.037736,0.036364,0.122807,0.066667,0.054054,0.095238,0.488927,0.666667,0
0.25,0,0.145455,0.105263,0.133333,0.108108,0,0.488927,0.666667,0
0.375,0,0,0,0,0,0,0.497445,0.666667,1
0.5,0.207547,0.072727,0.333333,0.333333,0.108108,0.380952,0.50937,0.666667,0
0.041667,0.09434,0.090909,0.666667,0.6,0.135135,0.571429,0.413969,0.153846,0
0.208333,0,0.218182,0.070175,0.066667,0,0.095238,0.53322,0.666667,0
0.125,0.113208,0.036364,0.368421,0.2,0.027027,0.095238,0.465077,0.666667,0
0.125,0.150943,0.127273,0.350877,0.3,0.027027,0.238095,0.431005,0.153846,0
0.208333,0.283019,0.054545,0.333333,0.266667,0.027027,0.190476,0.482112,0.666667,0
0.166667,0,0.327273,0.157895,0.066667,0.189189,0.142857,0.487223,0.666667,0
0.416667,0.150943,0.072727,0.385965,0.4,0.027027,0.190476,0.480409,0.666667,0
0.375,0,0.236364,0.140351,0.2,0.108108,0.190476,0.482112,0.666667,0
0.5,0.075472,0.181818,0.192982,0.233333,0.081081,0.285714,0.441227,0.666667,0
0.208333,0.056604,0.272727,0.22807,0.233333,0.216216,0.238095,0.536627,0.666667,0
0.375,0,0.163636,0.175439,0.033333,0.027027,0.142857,0.48552,0.666667,0
0.25,0.132075,0.309091,0.45614,0.433333,0.432432,0.285714,0.540034,0.153846,0
0.083333,0.188679,0.145455,0.473684,0.5,0.108108,0.333333,0.558773,0.153846,0
0.208333,0,0.163636,0.140351,0.266667,0.108108,0.095238,0.51448,0.666667,0
0.791667,0,0.109091,0.070175,0.066667,0.027027,0.047619,0.529813,0.666667,0
0.5,0.207547,0.036364,0.087719,0.166667,0.027027,0.047619,0.55707,0.666667,0
0.291667,0,0.381818,0.333333,0.1,0.243243,0.333333,0.579216,0.666667,0
0.583333,0,0.254545,0.210526,0.3,0.189189,0.190476,0.596252,0.666667,0
0.125,0.358491,0.127273,0.491228,0.366667,0.27027,0.285714,0.58092,0.666667,0
0.666667,0,0.218182,0.280702,0.433333,0.216216,0.142857,0.655877,0.666667,0
0.125,0.226415,0.818182,0.368421,0.2,0.108108,0.619048,0.459966,0.666667,0
0.375,0.415094,0.072727,0.403509,0.333333,0.054054,0.380952,0.55707,0.666667,0
0.083333,0,0.254545,0.122807,0.1,0.135135,0.142857,0.465077,0.666667,0
0.5,0.188679,0.036364,0.192982,0.233333,0.027027,0.095238,0.53833,0.666667,0
0.458333,0.188679,0.054545,0.298246,0.333333,0.054054,0.190476,0.432709,0.666667,0
0.541667,0.264151,0.181818,0.526316,0.4,0.027027,0.428571,0.611584,0.153846,1
0.125,0,0.2,0.105263,0.066667,0.135135,0.142857,0.505963,0.666667,0
0.291667,0,0.545455,0.245614,0.133333,0.297297,0.285714,0.46678,0.666667,1
0.791667,0,0.254545,0.140351,0.2,0.216216,0.047619,0.574106,0.666667,0
0.416667,0,0.4,0.175439,0.133333,0.162162,0.285714,0.463373,0.666667,0
0.458333,0.283019,0.018182,0.122807,0.133333,0.054054,0.047619,0.586031,0.666667,0
0.25,0.320755,0.218182,0.368421,0.466667,0.081081,0.285714,0.592845,0.153846,0
0.25,0.113208,0.072727,0.245614,0.133333,0.108108,0.190476,0.522998,0.666667,0
0.208333,0,0.109091,0.087719,0.033333,0.081081,0.095238,0.534923,0.666667,0
0.25,0,0.618182,0.333333,0.333333,0.324324,0.333333,0.582624,0.666667,0
0.5,0.150943,0.381818,0.298246,0.2,0.189189,0.238095,0.601363,0.666667,0
0.041667,0,0.018182,0.22807,0.1,0,0.190476,0.521295,0.666667,0
0.166667,0.188679,0.236364,0.22807,0.333333,0.054054,0.190476,0.536627,0.666667,0
0.375,0.09434,0.018182,0.070175,0.266667,0.108108,0,0.541738,0.666667,0
0.125,0,0.181818,0.105263,0.133333,0.324324,0.095238,0.482112,0.666667,0
0.208333,0.075472,0.090909,0.087719,0.1,0.054054,0.142857,0.475298,0.666667,0
0.291667,0.226415,0.181818,0.631579,0.533333,0.162162,0.238095,0.655877,0,0
0.375,0.226415,0.036364,0.245614,0.3,0.027027,0.333333,0.480409,0.666667,0
0.333333,0,0.145455,0.070175,0.1,0.027027,0.285714,0.480409,0.666667,0
0.291667,0.075472,0.018182,0.105263,0.133333,0.027027,0,0.499148,0.666667,1
0.291667,0.188679,0.163636,0.298246,0.166667,0.054054,0.190476,0.495741,0.666667,1
0.375,0,0.327273,0.087719,0.1,0.189189,0.142857,0.49063,0.666667,0
0.208333,0.226415,0.072727,0.245614,0.2,0.054054,0.333333,0.543441,0.666667,0
0.208333,0,0.381818,0.175439,0.3,0.108108,0.238095,0.511073,0.666667,0
0.5,0,0.363636,0.350877,0.2,0.162162,0.47619,0.575809,0.666667,0
0.125,0.018868,0.054545,0.052632,0.033333,0.027027,0.047619,0.500852,0.666667,0
0.166667,0.056604,0.145455,0.052632,0.1,0.081081,0.142857,0.497445,0.666667,0
0.458333,0.207547,0.090909,0.385965,0.433333,0.027027,0.190476,0.463373,0.666667,0
0.5,0.018868,0.036364,0.105263,0.066667,0.027027,0.047619,0.53322,0.666667,0
0.291667,0.264151,0.254545,0.333333,0.333333,0.162162,0.333333,0.632027,0.666667,0
0.375,0.132075,0.072727,0.157895,0.1,0.081081,0.142857,0.471891,0.666667,0
0.583333,0,0.127273,0.035088,0.033333,0.054054,0.047619,0.470187,0.666667,0
0.083333,0.113208,0.127273,0.210526,0.2,0.027027,0.238095,0.448041,0.666667,1
0.583333,0.358491,0.090909,0.385965,0.5,0.108108,0.285714,0.638842,0.666667,0
0.291667,0,0.345455,0.315789,0.3,0.459459,0.333333,0.551959,0.666667,0
0.333333,0,0.345455,0.175439,0.166667,0.297297,0.333333,0.528109,0.666667,0
0.25,0.320755,0.036364,0.175439,0.166667,0.027027,0.142857,0.541738,0.666667,0
0.416667,0,0,0.122807,0.1,0,0,0.574106,0.666667,0
0.75,0,0.563636,0.192982,0.233333,0.432432,0.047619,0.531516,0.666667,0
0.208333,0,0,0.052632,0,0.081081,0,0.449744,0.666667,1
0.208333,0.226415,0.145455,0.22807,0.3,0.027027,0.333333,0.495741,0.666667,0
0.25,0.226415,0.036364,0.22807,0.366667,0.027027,0.095238,0.586031,0.666667,0
0.333333,0.037736,0.054545,0.052632,0.4,0,0.142857,0.502555,0.666667,0
0.458333,0.018868,0.090909,0.140351,0.266667,0.108108,0.190476,0.522998,0.666667,0
0.166667,0,0.181818,0.105263,0.033333,0.081081,0.142857,0.536627,0.666667,0
0.208333,0.226415,0.145455,0.22807,0.2,0.054054,0.190476,0.429302,0.666667,0
0.25,0.113208,0.181818,0.175439,0.166667,0.108108,0.238095,0.512777,0.666667,0
0.5,0.113208,0.254545,0.192982,0.233333,0.108108,0.142857,0.529813,0.666667,0
0.5,0.301887,0.163636,0.070175,0.133333,0.081081,0.047619,0.589438,0.666667,1
0.458333,0.056604,0.036364,0.070175,0.1,0.027027,0.142857,0.502555,0.666667,0
0.333333,0.150943,0,0.175439,0.1,0,0,0.497445,0.666667,0
0.541667,0.150943,0.127273,0.087719,0.166667,0.054054,0.190476,0.46167,0.666667,0
0.541667,0.075472,0.127273,0.087719,0.1,0.081081,0.095238,0.480409,0.666667,0
0.583333,0,0.163636,0.087719,0.033333,0.108108,0.095238,0.528109,0.666667,0
0.5,0.188679,0.218182,0.192982,0.5,0.108108,0.238095,0.611584,0.666667,0
