AGE,W,L,FG3A,OREB,DREB,TOV,PF,PFD,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.208333,0.561644,0.408451,0.090909,0.036364,0.078947,0.175439,0.2,0.081633,0.507666,0.666667,0
0.375,0.534247,0.577465,0.007576,0.2,0.22807,0.175439,0.216667,0.285714,0.483816,0.666667,0
0.208333,0.041096,0.183099,0,0.018182,0.026316,0.035088,0.183333,0.061224,0.487223,0.666667,0
0.291667,0.246575,0.183099,0,0.145455,0.122807,0.070175,0.15,0.05102,0.548552,0.666667,0
0.208333,0.315068,0.338028,0,0.090909,0.096491,0.070175,0.266667,0.071429,0.478705,0.666667,0
0.125,0.013699,0,0,0,0,0,0.333333,0,0.454855,0.666667,1
0.541667,0.657534,0.464789,0.287879,0.109091,0.333333,0.280702,0.5,0.163265,0.586031,0.153846,0
0.166667,0.438356,0.408451,0.189394,0.054545,0.149123,0.105263,0.216667,0.05102,0.546848,0.666667,0
0.291667,0.205479,0.535211,0.007576,0.145455,0.149123,0.087719,0.266667,0.091837,0.49063,0.666667,0
0.208333,0.534247,0.239437,0,0.145455,0.122807,0.070175,0.316667,0.122449,0.543441,0.666667,0
0.333333,0.219178,0.28169,0,0.2,0.184211,0.105263,0.333333,0.163265,0.49063,0.666667,0
0.583333,0.219178,0.056338,0.030303,0.054545,0.061404,0.052632,0.116667,0.030612,0.50937,0.666667,0
0.125,0.287671,0.309859,0.015152,0.036364,0.078947,0.140351,0.15,0.081633,0.504259,0.666667,0
0.333333,0.767123,0.352113,0.174242,0.072727,0.140351,0.298246,0.283333,0.244898,0.555366,0.666667,0
0.125,0.260274,0.859155,0.007576,0.490909,0.526316,0.385965,0.45,0.326531,0.408859,0.666667,0
0.333333,0.506849,0.309859,0.280303,0.018182,0.157895,0.157895,0.233333,0.183673,0.551959,0.666667,0
0.25,0.671233,0.422535,0.30303,0.109091,0.307018,0.22807,0.366667,0.244898,0.577513,0.666667,0
0.166667,0.315068,0.788732,0,0.509091,0.45614,0.22807,0.483333,0.265306,0.473595,0.153846,0
0.583333,0.191781,0.056338,0,0.163636,0.210526,0.052632,0.233333,0.081633,0.534923,0.666667,0
0.5,0.547945,0.507042,0.348485,0.054545,0.122807,0.333333,0.216667,0.22449,0.522998,0.666667,0
0.5,0.273973,0.549296,0.159091,0.072727,0.210526,0.070175,0.183333,0.030612,0.480409,0.666667,0
0.416667,0.671233,0.380282,0.295455,0.090909,0.219298,0.45614,0.466667,0.214286,0.592845,0.666667,0
0.125,0.232877,0.126761,0.136364,0.018182,0.070175,0.087719,0.15,0.071429,0.49063,0.666667,0
0.083333,0.753425,0.380282,0.30303,0.090909,0.22807,0.22807,0.416667,0.316327,0.565588,0.666667,0
0.208333,0.205479,0.323944,0.068182,0.181818,0.245614,0.298246,0.416667,0.122449,0.492334,0.666667,0
0.458333,0.780822,0.338028,0.265152,0.054545,0.149123,0.052632,0.266667,0.102041,0.574106,0.666667,0
0.625,0.260274,0.422535,0.325758,0.036364,0.245614,0.087719,0.35,0.091837,0.512777,0.666667,0
0.25,0.547945,0.591549,0.234848,0.254545,0.219298,0.157895,0.283333,0.214286,0.516184,0.666667,0
0.416667,0.273973,0.309859,0.015152,0.272727,0.114035,0.087719,0.3,0.102041,0.565588,0.666667,0
0.333333,0.534247,0.619718,0.098485,0.036364,0.157895,0.22807,0.2,0.22449,0.487223,0.666667,0
0.541667,0.150685,0.239437,0,0.090909,0.035088,0.052632,0.166667,0.081633,0.526405,0.666667,0
0.541667,0.369863,0.309859,0,0.109091,0.131579,0.087719,0.333333,0.142857,0.553663,0.666667,0
0.458333,0.123288,0.211268,0.022727,0.018182,0.026316,0.017544,0.033333,0.010204,0.548552,0.666667,0
0.791667,0.767123,0.338028,0.371212,0.072727,0.350877,0.385965,0.25,0.102041,0.558773,0.102564,0
0.375,0.232877,0.56338,0,0.218182,0.166667,0.140351,0.266667,0.153061,0.482112,0.666667,0
0.458333,0.643836,0.464789,0.454545,0.145455,0.289474,0.210526,0.333333,0.153061,0.579216,0.666667,0
0.25,0.60274,0.464789,0,0.218182,0.175439,0.122807,0.316667,0.081633,0.521295,0.666667,0
0.583333,0.780822,0.352113,0.325758,0.054545,0.140351,0.350877,0.283333,0.22449,0.591141,0.666667,0
0.208333,0.328767,0.71831,0,0.345455,0.359649,0.22807,0.466667,0.255102,0.49063,0.666667,0
0.666667,0.260274,0.112676,0.106061,0.018182,0.087719,0.122807,0.05,0.010204,0.550256,0.666667,0
0.375,0.082192,0.28169,0.128788,0.054545,0.140351,0.105263,0.216667,0.061224,0.468484,0.666667,0
0.25,0.09589,0.225352,0,0.181818,0.131579,0.070175,0.2,0.081633,0.524702,0.666667,0
0.625,0.342466,0.43662,0.007576,0.527273,0.298246,0.087719,0.383333,0.132653,0.53833,0.666667,0
0.208333,0.616438,0.422535,0.212121,0.181818,0.333333,0.22807,0.466667,0.255102,0.522998,0.666667,0
0.166667,0.493151,0.478873,0.05303,0.036364,0.114035,0.157895,0.2,0.112245,0.507666,0.666667,0
0.166667,0.30137,0.380282,0,0.127273,0.105263,0.070175,0.166667,0.071429,0.517888,0.666667,0
0.125,0.136986,0.267606,0.015152,0.072727,0.070175,0.105263,0.183333,0.112245,0.528109,0.666667,0
0.541667,0.178082,0.15493,0,0.181818,0.22807,0.192982,0.45,0.183673,0.53322,0.666667,0
0.208333,0.109589,0.366197,0.098485,0.145455,0.096491,0.245614,0.183333,0.102041,0.473595,0.666667,0
0.708333,0.068493,0.028169,0.045455,0.018182,0.078947,0.052632,0.066667,0.061224,0.512777,0.666667,0
0.125,0.342466,0.647887,0.159091,0.072727,0.175439,0.315789,0.35,0.244898,0.454855,0.666667,0
0.291667,0.493151,0.169014,0,0.690909,0.578947,0.333333,0.55,0.316327,0.586031,0.666667,0
