AGE,W,PLUS_MINUS,W_RANK,W_PCT_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,STL_RANK,BLK_RANK,PLUS_MINUS_RANK,All_Star_Selection
0.166667,0.383562,0.500852,0.364421,0.162349,0.520147,0.680812,0.321942,0.537801,0.710669,0.296724,0.453642,0
0.541667,0.506849,0.524702,0.233161,0.43696,0.543956,0.579336,0.438849,0.508591,0.254973,0.522158,0.311258,0
0.125,0.219178,0.434412,0.569948,0.70639,0.309524,0.706642,0.053957,0.108247,0.359855,0.080925,0.725166,0
0.583333,0.534247,0.555366,0.198618,0.112263,0.655678,0.016605,0.73741,0.553265,0.385172,0.745665,0.145695,1
0.625,0.191781,0.528109,0.594128,0.452504,0.763736,0.708487,0.552158,0.666667,0.566004,0.545279,0.284768,0
0.208333,0.383562,0.553663,0.364421,0.412781,0.52381,0.608856,0.188849,0.484536,0.542495,0.038536,0.150662,0
0.541667,0.561644,0.551959,0.164076,0.364421,0.142857,0.298893,0.030576,0.068729,0.092224,0.046243,0.172185,0
0.375,0.589041,0.55707,0.138169,0.219344,0.122711,0.690037,0.014388,0.041237,0.390597,0.019268,0.135762,0
0.083333,0.438356,0.477002,0.314335,0.535406,0.380952,0.429889,0.330935,0.450172,0.092224,0.393064,0.615894,0
0.125,0.342466,0.522998,0.397237,0.46114,0.025641,0.177122,0.357914,0.408935,0.059675,0.38921,0.31457,0
0.208333,0.753425,0.563884,0.046632,0.15544,0.653846,0.47786,0.634892,0.62543,0.502712,0.71869,0.115894,0
0.666667,0.493151,0.560477,0.248705,0.100173,0.586081,0.708487,0.260791,0.340206,0.660036,0.098266,0.124172,0
0.208333,0.342466,0.540034,0.397237,0.511226,0.355311,0.042435,0.122302,0.11512,0.213382,0.32948,0.226821,0
0.583333,0.082192,0.488927,0.702936,0.438687,0.505495,0.243542,0.541367,0.592784,0.77396,0.408478,0.548013,0
0.125,0.547945,0.512777,0.181347,0.350604,0.39011,0.217712,0.491007,0.190722,0.341772,0.564547,0.377483,1
0.708333,0.054795,0.454855,0.727116,0.015544,0.736264,0.732472,0.464029,0.685567,0.78481,0.818882,0.698675,0
0.666667,0.465753,0.505963,0.283247,0.283247,0.717949,0.149446,0.478417,0.603093,0.58047,0.504817,0.418874,0
0.416667,0.246575,0.488927,0.521589,0.635579,0.474359,0.101476,0.580935,0.455326,0.195298,0.11368,0.544702,0
0.125,0.013699,0.488927,0.756477,0,0.800366,0.800738,0.785971,0.766323,0.78481,0.818882,0.548013,0
0.208333,0.136986,0.50937,0.644214,0.419689,0.540293,0.732472,0.377698,0.731959,0.781193,0.549133,0.39404,0
0.25,0.164384,0.500852,0.623489,0.369603,0.657509,0.782288,0.782374,0.67354,0.470163,0.468208,0.456954,0
0.291667,0.534247,0.51448,0.198618,0.195164,0.459707,0.555351,0.557554,0.575601,0.556962,0.682081,0.365894,0
0.291667,0.808219,0.541738,0.022453,0.072539,0.47619,0.219557,0.663669,0.393471,0.584087,0.759152,0.211921,0
0.25,0.767123,0.586031,0.039724,0.074266,0.126374,0.092251,0.627698,0.365979,0.202532,0.44894,0.067881,0
0.166667,0.39726,0.497445,0.34715,0.499136,0.247253,0.287823,0.395683,0.360825,0.274864,0.273603,0.476821,0
0.375,0.493151,0.551959,0.248705,0.35924,0.053114,0.426199,0.149281,0.037801,0.036166,0.104046,0.177152,0
0.416667,0.479452,0.519591,0.274611,0.369603,0.276557,0.289668,0.631295,0.348797,0.119349,0.418112,0.34106,0
0.25,0.739726,0.553663,0.063903,0.131261,0.135531,0.453875,0.201439,0.121993,0.135624,0.342967,0.152318,0
0.25,0.506849,0.471891,0.233161,0.314335,0.322344,0.643911,0.5,0.542955,0.289331,0.61657,0.639073,0
0.083333,0.452055,0.477002,0.298791,0.443869,0.467033,0.505535,0.47482,0.584192,0.511754,0.464355,0.61755,0
0.791667,0.534247,0.53322,0.198618,0.407599,0.157509,0.171587,0.291367,0.204467,0.238698,0.289017,0.256623,0
0.083333,0.410959,0.494037,0.336788,0.56304,0.186813,0.647601,0.019784,0.109966,0.084991,0.211946,0.503311,0
0.208333,0.561644,0.507666,0.164076,0.233161,0.686813,0.321033,0.726619,0.676976,0.618445,0.739884,0.415563,0
0.375,0.534247,0.483816,0.198618,0.407599,0.111722,0.48893,0.244604,0.305842,0.524412,0.653179,0.577815,0
0.208333,0.041096,0.487223,0.732297,0.751295,0.635531,0.732472,0.755396,0.757732,0.745027,0.402697,0.559603,0
0.291667,0.246575,0.548552,0.521589,0.241796,0.64652,0.614391,0.372302,0.572165,0.777577,0.312139,0.18543,0
0.208333,0.315068,0.478705,0.433506,0.397237,0.644689,0.714022,0.505396,0.637457,0.708861,0.381503,0.609272,0
0.125,0.013699,0.454855,0.756477,0,0.800366,0.800738,0.785971,0.766323,0.78481,0.818882,0.698675,1
0.541667,0.657534,0.586031,0.093264,0.221071,0.318681,0.553506,0.482014,0.147766,0.189873,0.308285,0.061258,0
0.166667,0.438356,0.546848,0.314335,0.329879,0.652015,0.51845,0.665468,0.486254,0.576854,0.676301,0.188742,0
0.291667,0.205479,0.49063,0.578584,0.671848,0.690476,0.769373,0.365108,0.5,0.578662,0.33526,0.541391,0
0.208333,0.534247,0.543441,0.198618,0.112263,0.437729,0.341328,0.374101,0.580756,0.670886,0.460501,0.206954,0
