W,MIN,FGM,FG3M,AST,STL,BLK,PLUS_MINUS,PLUS_MINUS_RANK,All_Star_Selection
0.246575,0.327945,0.06087,0,0.034188,0.033333,0.108108,0.487223,0.557947,0
0.150685,0.274827,0.104348,0,0.051282,0.2,0.108108,0.517888,0.346026,0
0.123288,0.341801,0.182609,0.037736,0.042735,0.066667,0.054054,0.488927,0.546358,0
0.30137,0.263279,0.147826,0,0.051282,0.133333,0.108108,0.488927,0.55298,0
0.013699,0.113164,0.043478,0,0.042735,0,0,0.497445,0.478477,1
0.410959,0.803695,0.443478,0.207547,0.299145,0.333333,0.108108,0.50937,0.395695,0
0.260274,0.86836,0.504348,0.09434,0.709402,0.6,0.135135,0.413969,0.743377,0
0.383562,0.244804,0.069565,0,0.025641,0.066667,0,0.53322,0.259934,0
0.136986,0.422633,0.173913,0.113208,0.290598,0.2,0.027027,0.465077,0.662252,0
0.232877,0.558891,0.4,0.150943,0.239316,0.3,0.027027,0.431005,0.730132,0
0.315068,0.56351,0.304348,0.283019,0.42735,0.266667,0.027027,0.482112,0.587748,0
0.520548,0.355658,0.208696,0,0.034188,0.066667,0.189189,0.487223,0.56457,0
0.246575,0.709007,0.33913,0.150943,0.760684,0.4,0.027027,0.480409,0.592715,0
0.315068,0.378753,0.191304,0,0.068376,0.2,0.108108,0.482112,0.586093,0
0.041096,0.51963,0.278261,0.075472,0.111111,0.233333,0.081081,0.441227,0.718543,0
0.465753,0.508083,0.252174,0.056604,0.179487,0.233333,0.216216,0.536627,0.236755,0
0.39726,0.274827,0.147826,0,0.034188,0.033333,0.027027,0.48552,0.572848,0
0.589041,0.787529,0.565217,0.132075,0.282051,0.433333,0.432432,0.540034,0.221854,0
0.561644,0.812933,0.469565,0.188679,0.555556,0.5,0.108108,0.558773,0.127483,0
0.123288,0.334873,0.13913,0,0.094017,0.266667,0.108108,0.51448,0.360927,0
0.589041,0.235566,0.086957,0,0.034188,0.066667,0.027027,0.529813,0.283113,0
0.849315,0.406467,0.130435,0.207547,0.102564,0.166667,0.027027,0.55707,0.134106,0
0.287671,0.586605,0.2,0,0.076923,0.1,0.243243,0.579216,0.077815,0
0.424658,0.588915,0.33913,0,0.196581,0.3,0.189189,0.596252,0.039735,0
0.712329,0.893764,0.791304,0.358491,0.230769,0.366667,0.27027,0.58092,0.076159,0
0.671233,0.718245,0.530435,0,0.205128,0.433333,0.216216,0.655877,0.003311,0
0.232877,0.822171,0.573913,0.226415,0.213675,0.2,0.108108,0.459966,0.687086,0
0.575342,0.745958,0.6,0.415094,0.213675,0.333333,0.054054,0.55707,0.13245,0
0.205479,0.247113,0.095652,0,0.017094,0.1,0.135135,0.465077,0.663907,0
0.479452,0.503464,0.226087,0.188679,0.25641,0.233333,0.027027,0.53833,0.228477,0
0.328767,0.688222,0.33913,0.188679,0.34188,0.333333,0.054054,0.432709,0.726821,0
0.780822,0.778291,0.782609,0.264151,0.401709,0.4,0.027027,0.611584,0.028146,1
0.232877,0.196305,0.121739,0,0.008547,0.066667,0.135135,0.505963,0.423841,0
0.315068,0.637413,0.356522,0,0.094017,0.133333,0.297297,0.46678,0.657285,1
0.534247,0.51963,0.156522,0,0.102564,0.2,0.216216,0.574106,0.089404,0
0.369863,0.595843,0.252174,0,0.059829,0.133333,0.162162,0.463373,0.678808,0
0.849315,0.459584,0.26087,0.283019,0.128205,0.133333,0.054054,0.586031,0.062914,0
0.547945,0.785219,0.4,0.320755,0.57265,0.466667,0.081081,0.592845,0.043046,0
0.013699,0.316397,0.156522,0.113208,0.119658,0.133333,0.108108,0.522998,0.321192,0
0.39726,0.193995,0.069565,0,0.025641,0.033333,0.081081,0.534923,0.243377,0
0.657534,0.909931,0.756522,0,0.179487,0.333333,0.324324,0.582624,0.072848,0
0.780822,0.73903,0.504348,0.150943,0.25641,0.2,0.189189,0.601363,0.033113,0
0.041096,0.21709,0.095652,0,0.153846,0.1,0,0.521295,0.327815,0
0.575342,0.711316,0.313043,0.188679,0.162393,0.333333,0.054054,0.536627,0.233444,0
0.09589,0.270208,0.113043,0.09434,0.059829,0.266667,0.108108,0.541738,0.213576,0
0.383562,0.330254,0.165217,0,0.025641,0.133333,0.324324,0.482112,0.59106,0
0.136986,0.226328,0.113043,0.075472,0.059829,0.1,0.054054,0.475298,0.624172,0
0.780822,0.891455,0.834783,0.226415,0.598291,0.533333,0.162162,0.655877,0.001656,0
0.232877,0.549654,0.443478,0.226415,0.179487,0.3,0.027027,0.480409,0.599338,0
0.136986,0.247113,0.173913,0,0.017094,0.1,0.027027,0.480409,0.597682,0
0.041096,0.150115,0.043478,0.075472,0.128205,0.133333,0.027027,0.499148,0.463576,1
0.164384,0.60739,0.4,0.188679,0.08547,0.166667,0.054054,0.495741,0.490066,1
0.273973,0.341801,0.156522,0,0.034188,0.1,0.189189,0.49063,0.538079,0
0.534247,0.533487,0.373913,0.226415,0.290598,0.2,0.054054,0.543441,0.201987,0
0.465753,0.60739,0.217391,0,0.076923,0.3,0.108108,0.511073,0.390728,0
0.520548,0.748268,0.669565,0,0.213675,0.2,0.162162,0.575809,0.087748,0
0.150685,0.127021,0.052174,0.018868,0.025641,0.033333,0.027027,0.500852,0.456954,0
