AGE,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,All_Star_Selection
0.333333,0.027397,0.070423,0.099307,0.008696,0.044898,0,0.045455,0,0,0.054545,0.008772,0,0.017544,0.033333,0,0,0.066667,0.010204,0.00831,0.465077,0.053292,0,0,0.72619,0.744387,0.70669,0.66494,0.730132,0.767764,0.72651,0.771231,0.60039,0.438503,0.60039,0.800738,0.800366,0.800738,0.647482,0.762887,0.753846,0.77993,0.773451,0.730561,0.818882,0.804104,0.744425,0.777975,0.765921,0.665563,0.741722,0.835206,0.666667,0
0.708333,0.013699,0.042254,0.198614,0.043478,0.053061,0,0.037879,0.04902,0.04065,0,0.114035,0.042735,0.052632,0,0,0,0,0.081633,0.041551,0.574106,0.090909,0,0,0.741497,0.756477,0.734134,0.699482,0.652318,0.734835,0.713087,0.615251,0.60039,0.447415,0.60039,0.638376,0.717949,0,0.785971,0.609966,0.663248,0.602113,0.750442,0.78481,0.818882,0.804104,0.766724,0.603908,0.724613,0.09106,0.703642,0.835206,0.666667,1
0.708333,0.739726,0.267606,0.43418,0.2,0.191837,0,0,0.068627,0.089431,0.309091,0.324561,0.102564,0.175439,0.166667,0.135135,0.047619,0.366667,0.102041,0.146814,0.553663,0.282132,0.064935,0,0.234694,0.063903,0.557461,0.070812,0.403974,0.426343,0.454698,0.199307,0.60039,0.666667,0.60039,0.553506,0.538462,0.566421,0.131295,0.161512,0.136752,0.411972,0.39292,0.433996,0.235067,0.725746,0.250429,0.499112,0.471601,0.147351,0.365894,0.378277,0.666667,0
0.125,0.273973,0.253521,0.163972,0.104348,0.110204,0.018868,0.022727,0.029412,0.04878,0.054545,0.061404,0.102564,0.175439,0.033333,0,0.095238,0.133333,0.061224,0.080332,0.512777,0.119122,0,0,0.581633,0.481865,0.569468,0.321244,0.673841,0.627383,0.615772,0.320624,0.471735,0.486631,0.074074,0.715867,0.699634,0.669742,0.642086,0.716495,0.711111,0.394366,0.376991,0.74141,0.803468,0.651119,0.70669,0.674956,0.63167,0.375828,0.665563,0.835206,0.666667,0
0.25,0.547945,0.408451,0.773672,0.391304,0.371429,0.283019,0.272727,0.196078,0.195122,0.127273,0.263158,0.205128,0.175439,0.166667,0.108108,0.285714,0.366667,0.173469,0.34903,0.562181,0.387147,0.038961,0,0.314626,0.181347,0.368782,0.24525,0.092715,0.17851,0.199664,0.17331,0.089669,0.121212,0.05848,0.206642,0.25641,0.127306,0.43705,0.247423,0.295726,0.18662,0.369912,0.437613,0.277457,0.210821,0.253859,0.30373,0.166954,0.119205,0.210265,0.479401,0.666667,0
0.166667,0.356164,0.647887,0.459584,0.234783,0.265306,0.188679,0.181818,0.107843,0.121951,0.163636,0.254386,0.094017,0.140351,0.166667,0.135135,0.142857,0.383333,0.132653,0.207756,0.492334,0.288401,0,0,0.255102,0.390328,0.090909,0.588946,0.379139,0.389948,0.337248,0.570191,0.220273,0.228164,0.103314,0.400369,0.419414,0.374539,0.320144,0.268041,0.273504,0.431338,0.490265,0.39783,0.229287,0.483209,0.22813,0.422735,0.358003,0.528146,0.349338,0.835206,0.666667,0
0.041667,0.287671,0.140845,0.115473,0.06087,0.089796,0,0.015152,0.019608,0.03252,0.018182,0.035088,0.034188,0.087719,0.1,0,0.095238,0.1,0.040816,0.047091,0.492334,0.087774,0,0,0.613946,0.466321,0.668954,0.146805,0.713576,0.693241,0.652685,0.715771,0.60039,0.538324,0.60039,0.767528,0.749084,0.732472,0.753597,0.745704,0.74188,0.663732,0.642478,0.647378,0.818882,0.591418,0.734134,0.738899,0.712565,0.519868,0.706954,0.835206,0.666667,0
0.541667,0.328767,0.478873,0.65127,0.434783,0.485714,0.264151,0.310606,0.166667,0.186992,0.109091,0.184211,0.57265,0.438596,0.433333,0.135135,0.285714,0.416667,0.183673,0.362881,0.519591,0.496865,0.090909,0,0.42517,0.417962,0.252144,0.518135,0.18543,0.143847,0.105705,0.54766,0.11501,0.087344,0.323587,0.249077,0.267399,0.326568,0.46223,0.414089,0.423932,0.022887,0.056637,0.052441,0.263969,0.227612,0.173242,0.275311,0.153184,0.337748,0.109272,0.307116,0.666667,0
0.375,0.410959,0.732394,0.595843,0.356522,0.383673,0.245283,0.242424,0.166667,0.162602,0.090909,0.166667,0.179487,0.298246,0.2,0.054054,0.190476,0.366667,0.163265,0.310249,0.499148,0.315047,0,0,0.001701,0.336788,0.034305,0.583765,0.246689,0.211438,0.192953,0.422877,0.138402,0.156863,0.097466,0.273063,0.311355,0.116236,0.510791,0.457045,0.483761,0.232394,0.157522,0.370705,0.537572,0.406716,0.272727,0.328597,0.209983,0.468543,0.301325,0.835206,0.666667,0
0.166667,0.082192,0.507042,0.235566,0.130435,0.138776,0.018868,0.015152,0.078431,0.105691,0.127273,0.061404,0.136752,0.105263,0.1,0.054054,0.190476,0.116667,0.091837,0.105263,0.49063,0.175549,0,0,0.547619,0.702936,0.209262,0.766839,0.615894,0.585789,0.557047,0.521664,0.51462,0.527629,0.192982,0.516605,0.468864,0.671587,0.397482,0.701031,0.635897,0.304577,0.612389,0.629295,0.549133,0.367537,0.723842,0.557726,0.580034,0.539735,0.566225,0.835206,0.666667,0
